metadata_row,complex_name,compound_group,smiles,experimental_pKD,covalent,fragment_screen,pb_valid_prepared,pb_valid_ref,suspected_artefact,sucos_shape,pocket_qcov,sucos_shape_pocket_qcov,complex_directory,complex_ref_pdb_path,complex_ref_pdb_exists,complex_ref_pdb_bytes,complex_ref_pdb_sha256,prepared_protein_pdb_path,prepared_protein_pdb_exists,prepared_protein_pdb_bytes,prepared_protein_pdb_sha256,ligand_ref_sdf_path,ligand_ref_sdf_exists,ligand_ref_sdf_bytes,ligand_ref_sdf_sha256,ligand_prepared_sdf_path,ligand_prepared_sdf_exists,ligand_prepared_sdf_bytes,ligand_prepared_sdf_sha256,complex_ref_pdb_coordinate_records,complex_ref_pdb_atom_records,complex_ref_pdb_hetatm_records,complex_ref_pdb_ligand_records,prepared_protein_pdb_coordinate_records,prepared_protein_pdb_atom_records,prepared_protein_pdb_hetatm_records,prepared_protein_pdb_ligand_records,ligand_ref_sdf_parse_ok,ligand_ref_sdf_molecule_count,ligand_ref_sdf_atom_count,ligand_ref_sdf_heavy_atom_count,ligand_ref_sdf_formal_charge,ligand_ref_sdf_elements,ligand_prepared_sdf_parse_ok,ligand_prepared_sdf_molecule_count,ligand_prepared_sdf_atom_count,ligand_prepared_sdf_heavy_atom_count,ligand_prepared_sdf_formal_charge,ligand_prepared_sdf_elements
1,A71EV2A-x0152a,x0152a_x0152b,O=C1CN(C(=O)COc2ccccc2)CCN1,,False,True,True,True,True,40.5843,71.4286,28.9888,structures/x0152a_x0152b/A71EV2A-x0152a,structures/x0152a_x0152b/A71EV2A-x0152a/A71EV2A-x0152a_complex_ref.pdb,True,98834,ed82e9e2fd2aa2309fbcad5660393f31dbc8361b91f383329c7aeae2d89e95b3,structures/x0152a_x0152b/A71EV2A-x0152a/A71EV2A-x0152a_prepared.pdb,True,171224,7d6851aef42a7cdb8d4092cf1f788d35fde03e1aad696e5db1f8a471a90ebff3,structures/x0152a_x0152b/A71EV2A-x0152a/A71EV2A-x0152a_ligand_ref.sdf,True,1553,c3b756e3a18ff70cdcadcac4ad4471c4cbf272ee314e51da7f62e61113a75696,structures/x0152a_x0152b/A71EV2A-x0152a/A71EV2A-x0152a_ligand_prepared.sdf,True,2715,bdb5cf3604affe88f5f9577373cf682300fbfb0aff86fa7390236535f18c3395,1148,1103,45,17,2112,2112,,,True,1,17,17,0,C:12;N:2;O:3,True,1,31,17,0,C:12;H:14;N:2;O:3
2,A71EV2A-x0152b,x0152a_x0152b,O=C1CN(C(=O)COc2ccccc2)CCN1,,False,True,False,False,False,45.6884,38.4615,17.5725,structures/x0152a_x0152b/A71EV2A-x0152b,structures/x0152a_x0152b/A71EV2A-x0152b/A71EV2A-x0152b_complex_ref.pdb,True,98996,823ad3aa8dda8d949ea23225ed772e5e6868e690403b0e46d8f3b6742dbb4193,structures/x0152a_x0152b/A71EV2A-x0152b/A71EV2A-x0152b_prepared.pdb,True,171224,c98cc5597d5a1b80b2f39049027af3a806b419081b8612d1c688784cfcf65f8c,structures/x0152a_x0152b/A71EV2A-x0152b/A71EV2A-x0152b_ligand_ref.sdf,True,1553,4f08dd40dbc0236b6360dc853e1b45a7ea83cda9a373e601fdceee13e28c1f9f,structures/x0152a_x0152b/A71EV2A-x0152b/A71EV2A-x0152b_ligand_prepared.sdf,True,2715,7bc2086496c8497de04f82b298acb388aed2317b9d97e866e53b2a5ed6a09a63,1150,1103,47,17,2112,2112,,,True,1,17,17,0,C:12;N:2;O:3,True,1,31,17,0,C:12;H:14;N:2;O:3
3,A71EV2A-x0188a,x0188a,CC[C@@H]1CN(S(=O)(=O)N(C)C)CCO1,,False,True,True,True,False,57.7371,22.2222,12.8305,structures/x0188a/A71EV2A-x0188a,structures/x0188a/A71EV2A-x0188a/A71EV2A-x0188a_complex_ref.pdb,True,98504,0cff5e0f5054daf8d2dc568998b3095763b5430646ce54090ed31100c23e8bb1,structures/x0188a/A71EV2A-x0188a/A71EV2A-x0188a_prepared.pdb,True,171224,601b2eaa78a68fc3e7cdbb16297b9011a242b17cb65d7db0b86e3e8aa997d8e9,structures/x0188a/A71EV2A-x0188a/A71EV2A-x0188a_ligand_ref.sdf,True,1291,266edc8729aee3a58866ea8873f3628b8151f8945ebd0e9a7bf6ec2055e9dca3,structures/x0188a/A71EV2A-x0188a/A71EV2A-x0188a_ligand_prepared.sdf,True,2785,966fb3c2e4155c77f5e56600edf820c2cd3e58a27e9821fa6b5ef8f804c4fd3f,1142,1097,45,14,2112,2112,,,True,1,14,14,0,C:8;N:2;O:3;S:1,True,1,32,14,0,C:8;H:18;N:2;O:3;S:1
4,A71EV2A-x0194a,x0194a,Fc1ccccc1CNC1CCOCC1,,False,True,True,True,False,35.873,25,8.9682,structures/x0194a/A71EV2A-x0194a,structures/x0194a/A71EV2A-x0194a/A71EV2A-x0194a_complex_ref.pdb,True,104652,c6b2ee1d469ce3b733d014b46daa257eb1cb6a64dcd6c33f60e5dd5ea2c1581e,structures/x0194a/A71EV2A-x0194a/A71EV2A-x0194a_prepared.pdb,True,171224,7f01c32c268000ede39c8fb796097cb2649d4fbefbb6651ab57a9e59a3490a29,structures/x0194a/A71EV2A-x0194a/A71EV2A-x0194a_ligand_ref.sdf,True,1387,c14a7a1ba0b0996eeedb4f8eb454522e0f17b604b47c89429be2c364d14792a2,structures/x0194a/A71EV2A-x0194a/A71EV2A-x0194a_ligand_prepared.sdf,True,2816,d2456df55a269690647db846bf08f4d00dc0c7cd5cb3f297c96321d912abdb1e,1175,1116,59,15,2112,2112,,,True,1,15,15,0,C:12;F:1;N:1;O:1,True,1,32,15,1,C:12;F:1;H:17;N:1;O:1
5,A71EV2A-x0202a,x0202a_x0202b,NS(=O)(=O)c1cnc2cccnn12,,False,True,True,True,False,45.367,18.1818,8.2485,structures/x0202a_x0202b/A71EV2A-x0202a,structures/x0202a_x0202b/A71EV2A-x0202a/A71EV2A-x0202a_complex_ref.pdb,True,102546,94bd5273801071b1feeea92bcbf2e43b02dc75fd80601942d971d6e9e0ff8c60,structures/x0202a_x0202b/A71EV2A-x0202a/A71EV2A-x0202a_prepared.pdb,True,171224,2cfc2484950b213ee78fee503525a09745e234ef1ca2e4c49066ad5fa7891980,structures/x0202a_x0202b/A71EV2A-x0202a/A71EV2A-x0202a_ligand_ref.sdf,True,1221,de2938428ebc0b4b03e8090368a1f5f60ec1f5c91a8e0c049e4bc1d18b29fff2,structures/x0202a_x0202b/A71EV2A-x0202a/A71EV2A-x0202a_ligand_prepared.sdf,True,1719,4ec89beff874603375908e39806c6383d811fa35098a34f3ca75954f9420c3ca,1150,1103,47,13,2112,2112,,,True,1,13,13,0,C:6;N:4;O:2;S:1,True,1,19,13,0,C:6;H:6;N:4;O:2;S:1
6,A71EV2A-x0202b,x0202a_x0202b,NS(=O)(=O)c1cnc2cccnn12,,False,True,True,True,True,48.6278,25,12.1569,structures/x0202a_x0202b/A71EV2A-x0202b,structures/x0202a_x0202b/A71EV2A-x0202b/A71EV2A-x0202b_complex_ref.pdb,True,102141,e705fdb44ff6351c07deece23b8483ab1b4a5447230b765ee9fef6c9b8b138e3,structures/x0202a_x0202b/A71EV2A-x0202b/A71EV2A-x0202b_prepared.pdb,True,171224,2fd89dd6534a1439fb7fdfad1d75830813d017f2e3cd2658c812924ddda7fc74,structures/x0202a_x0202b/A71EV2A-x0202b/A71EV2A-x0202b_ligand_ref.sdf,True,1221,edcf0eadf7ed2e5e6c5e426c82e2e48840fa029e8e58e1f630723628b7bb9861,structures/x0202a_x0202b/A71EV2A-x0202b/A71EV2A-x0202b_ligand_prepared.sdf,True,1719,587483138e164b6e6dd050e95caef619ba44deed978666efee751928421de5f8,1145,1103,42,13,2112,2112,,,True,1,13,13,0,C:6;N:4;O:2;S:1,True,1,19,13,0,C:6;H:6;N:4;O:2;S:1
7,A71EV2A-x0207a,x0207a,Cc1cc(C(=O)NC[C@H]2CCOC2)on1,,False,True,True,True,False,43.2353,88.8889,38.4313,structures/x0207a/A71EV2A-x0207a,structures/x0207a/A71EV2A-x0207a/A71EV2A-x0207a_complex_ref.pdb,True,186476,30d1fd48949684fe272b6ab73a3088960bcedbd3d2b3771ffa0b1eb1cf637d89,structures/x0207a/A71EV2A-x0207a/A71EV2A-x0207a_prepared.pdb,True,171224,d5c7d7d845d3d783d0c817907f23d13a7ead86398bc37d05f2ff26c635eb2fc1,structures/x0207a/A71EV2A-x0207a/A71EV2A-x0207a_ligand_ref.sdf,True,1387,b4b754dfd94a2f4f6ee32c99db104b50849e0c6f3cb79de29fa6047a3c52f4d8,structures/x0207a/A71EV2A-x0207a/A71EV2A-x0207a_ligand_prepared.sdf,True,2549,6b3810e32b4b4b77c0397809b17611bcae4af6afb03f3df1ddfa677a0eb83de5,2229,2190,39,15,2112,2112,,,True,1,15,15,0,C:10;N:2;O:3,True,1,29,15,0,C:10;H:14;N:2;O:3
8,A71EV2A-x0228a,x0228a,CS(=O)(=O)N1CCC(O)CC1,,False,True,True,True,False,52.7159,71.4286,37.6542,structures/x0228a/A71EV2A-x0228a,structures/x0228a/A71EV2A-x0228a/A71EV2A-x0228a_complex_ref.pdb,True,102141,81a9f371940b31a54f34e4c8233a1eb994affedc36d0851b8b1137890d2b30db,structures/x0228a/A71EV2A-x0228a/A71EV2A-x0228a_prepared.pdb,True,171224,f78c38e80ca2926e86e4a17d0b2b540f3f5f0a548225d022b816fb1154220f53,structures/x0228a/A71EV2A-x0228a/A71EV2A-x0228a_ligand_ref.sdf,True,1042,f84db151a0ab53b27dd43ee15c0b1b6d5e8fcfba4a192e4c6a84e1e48b2a3995,structures/x0228a/A71EV2A-x0228a/A71EV2A-x0228a_ligand_prepared.sdf,True,2121,c8f55404f080c190b855e968954251848252d774121e002ad127fc4f95bc699d,1145,1103,42,11,2112,2112,,,True,1,11,11,0,C:6;N:1;O:3;S:1,True,1,24,11,0,C:6;H:13;N:1;O:3;S:1
9,A71EV2A-x0229a,x0229a_x0229b,CS(=O)(=O)Nc1ccc(CN)cc1,,False,True,True,True,True,45.3551,71.4286,32.3965,structures/x0229a_x0229b/A71EV2A-x0229a,structures/x0229a_x0229b/A71EV2A-x0229a/A71EV2A-x0229a_complex_ref.pdb,True,97937,c8987c8af6833525a4a18ca3689d05f24b4ac9a49990d36a161ea0712566f11e,structures/x0229a_x0229b/A71EV2A-x0229a/A71EV2A-x0229a_prepared.pdb,True,171224,df2a2d81983ebcf3aef7729098db523c41788c1c872ba7a3a87fbbb3faa4b03b,structures/x0229a_x0229b/A71EV2A-x0229a/A71EV2A-x0229a_ligand_ref.sdf,True,1208,81a96a29697c8e35cf3fee6dd36ac48fceca92d145712c681e52f2c6053e5f4e,structures/x0229a_x0229b/A71EV2A-x0229a/A71EV2A-x0229a_ligand_prepared.sdf,True,2305,971d220b8279cb24efa1577b7d183839dd1c8174154b73f396c8e5b8f8a7f906,1137,1097,40,13,2112,2112,,,True,1,13,13,0,C:8;N:2;O:2;S:1,True,1,26,13,1,C:8;H:13;N:2;O:2;S:1
10,A71EV2A-x0229b,x0229a_x0229b,CS(=O)(=O)Nc1ccc(CN)cc1,,False,True,True,True,False,57.9793,22.2222,12.8843,structures/x0229a_x0229b/A71EV2A-x0229b,structures/x0229a_x0229b/A71EV2A-x0229b/A71EV2A-x0229b_complex_ref.pdb,True,97937,752da2f4a7302b393fcf8970c81dddba30226b2cc69b0b4f33c70aa5b83421a1,structures/x0229a_x0229b/A71EV2A-x0229b/A71EV2A-x0229b_prepared.pdb,True,171224,994981967800df06e458ac5980db0aba490df229fd678ecbfe084bdcba639931,structures/x0229a_x0229b/A71EV2A-x0229b/A71EV2A-x0229b_ligand_ref.sdf,True,1208,9311cc8ebe73dca3bd60adba6b0dab764ad56ffc88fe225f56ca7f531335409c,structures/x0229a_x0229b/A71EV2A-x0229b/A71EV2A-x0229b_ligand_prepared.sdf,True,2305,f5ba340f5571cceb7dace1648b7053376c9dce6b5021d27b557366308330193a,1137,1097,40,13,2112,2112,,,True,1,13,13,0,C:8;N:2;O:2;S:1,True,1,26,13,1,C:8;H:13;N:2;O:2;S:1
